id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"136093","Tivi QLED Samsung QA55Q60DAKXXV","-14","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/q60d/tivi-q60d-min.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-55-inch-qa55q60dakxxv.html","55 inch","4K (UHD)","Tizen","Công nghệ Quantum Dot, Công nghệ Quantum HDR, Dual LED, Công nghệ Supreme UHD Dimming, EyeComfort, Motion Xcelerator","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","N/A","24 tháng","Tivi QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"138370","Android Tivi Hisense 40A4N","","","https://www.nguyenkim.com/images/companies/_1/Tivi/hisense/android-tivi-hisense-hd-32-inch-32a4n.jpg","0","https://www.nguyenkim.com/android-tivi-hisense-full-hd-40-inch-40a4n.html","40 inch","Full HD","Android Tivi","High contrast, Natural Color Enhancer","MT9216AAATYB","60 Hz","20W","Có","2.4/5.0","2 cổng","HDMI 1.4*2","Hisense","Thái Lan","N/A","24 Tháng","Android Tivi","Không","DTS Virtual X","1GB+8GB","Google Assistant (tiếng Việt)",2024-10-28
"136138","Smart Tivi Samsung UA55DU8000KXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/du8000/smart-tivi-samsung-4k-55-inch-ua55du8000kxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du8000kxxv.html","55 inch","4K (UHD)","Tizen","Dynamic Crystal Color, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 Micro HDMI","Samsung","Việt Nam","N/A","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"136183","Smart Tivi Samsung UA55DU7700KXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/du7700/smart-tivi-samsung-4k-55-inch-ua55du7700kxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du7700kxxv.html","55 inch","4K (UHD)","Tizen","Purcolor, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","1 x USB-A","3 Micro HDMI","Samsung","Việt Nam","N/A","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound Lite (OTS Lite), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"136088","Tivi QLED Samsung QA65Q60DAKXXV","-4","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/q60d/smart-tivi-qled-samsung-4k-43-inch-qa43q60dakxxv-1.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-65-inch-qa65q60dakxxv.html","65 inch","4K (UHD)","Tizen","Công nghệ Quantum Dot, Công nghệ Quantum HDR, Dual LED, Công nghệ Supreme UHD Dimming, EyeComfort, Motion Xcelerator","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","N/A","24 tháng","Tivi QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"135420","Google Tivi Hisense 43A6500K","","","https://www.nguyenkim.com/images/companies/_1/Tivi/hisense/google-tivi-hisense-4k-43-inch-43a6500-min%20(1).jpg","0","https://www.nguyenkim.com/google-tivi-hisense-4k-43-inch-43a6500k.html","43 inch","4K (UHD)","Google TV","Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision","MT9612IAATNC","60 Hz","20W","Có","2.4G + 5G/Bluetooth 5.1","2 Cổng","3 cổng","Hisense","Thái Lan","N/A","24 Tháng","Google Tivi","HDR10","Dolby Atmos","N/A","Tìm kiếm bằng giọng nói Tiếng Việt, Trợ lý ảo Google Assistant, Tìm kiếm bằng giọng nói không cần remote",2024-10-28
"136133","Smart Tivi Samsung UA65DU8000KXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/du8000/smart-tivi-samsung-4k-65-inch-ua65du8000kxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-65-inch-ua65du8000kxxv.html","65 inch","4K (UHD)","Tizen","Dynamic Crystal Color, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 Micro HDMI","Samsung","Việt Nam","N/A","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"130312","Android Tivi TCL 32S5400A","-7","","https://www.nguyenkim.com/images/companies/_1/Tivi/TCL/android-tivi-tcl-hd-32-inch-32s5400a-min.jpg","0","https://www.nguyenkim.com/android-tivi-tcl-hd-32-inch-32s5400a.html","32 inch","HD","Android","HDR10","CA55x4 @1.1GHz (DVFS 1.45GHz)","60 Hz","16W","Có","Có","1 Cổng","2 cổng","TCL","Việt Nam","N/A","24 tháng","Android Tivi","2K HDR10 Decoding","Dolby Audio","8GB","Có",2024-10-28
"138365","Android Tivi Hisense 32A4N","","","https://www.nguyenkim.com/images/companies/_1/Tivi/hisense/android-tivi-hisense-hd-32-inch-32a4n.jpg","0","https://www.nguyenkim.com/android-tivi-hisense-hd-32-inch-32a4n.html","32 inch","HD","Android Tivi","High contrast, Natural Color Enhancer","MT9216AAATYB","60 Hz","16W","Có","2.4/5.0","2 cổng","HDMI 1.4*2","Hisense","Thái Lan","N/A","24 Tháng","Android Tivi","Không","DTS Virtual X","1GB+8GB","Google Assistant (tiếng Việt)",2024-10-28
"130314","Android Tivi TCL 40S5400A","-5","","https://www.nguyenkim.com/images/companies/_1/Tivi/TCL/android-tivi-tcl-full-hd-40-inch-40s5400a-1-min.jpg","0","https://www.nguyenkim.com/android-tivi-tcl-full-hd-40-inch-40s5400a.html","40 inch","Full HD","Android","HDR10","CA55x4 @1.1GHz (DVFS 1.45GHz)","60 Hz","19W","Có","Có","1 Cổng","2 cổng","TCL","Việt Nam","N/A","24 tháng","Android Tivi","2K HDR10 Decoding","Dolby Audio","N/A","Có",2024-10-28
