id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"138370","Android Tivi Hisense 40A4N","4690000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10058150-tskt.jpg","19","https://www.nguyenkim.com/android-tivi-hisense-full-hd-40-inch-40a4n.html","40 inch","Full HD","Android Tivi","High contrast, Natural Color Enhancer","MT9216AAATYB","60 Hz","20W","Có","2.4/5.0","2 cổng","HDMI 1.4*2","Hisense","Thái Lan","2024","24 Tháng","Android Tivi","Không","DTS Virtual X","1GB+8GB","Google Assistant (tiếng Việt)",2024-12-01
"140690","Smart Tivi Toshiba 43E31MP","5990000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10058428-Smart_Tivi_Toshiba_43E31MP1-tskt_9.jpg","8","https://www.nguyenkim.com/smart-tivi-toshiba-full-hd-43-inch-43e31mp.html","43 inch","Full HD","VIDAA TV","Picture Optimizer, Công nghệ Essential PQ, Công nghệ Color Re-Master, Chức năng Contrast Booster, Digital Noise Reduction, Auto Signal Booster","Regza Engine","60 Hz","20W","Ethernet Network (RJ45)","WiFi 802.11 chuẩn a/b/g/n/ac","2 Cổng","HDMI 2.0x2, HDMI eARC","Toshiba (Tivi)","Thái Lan","2024","24 Tháng","Smart Tivi","Không","DTS Virtual X, Regza Power Audio, DTS X","1G+4G","Tìm kiếm bằng giọng nói thông qua ứng dụng VIDAA kết nối trên điện thoại",2024-12-01
"136093","Tivi QLED Samsung QA55Q60DAKXXV","15900000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057614-smart-tivi-qled-4k-55-inch-qa55q60dakxxv-tskt.jpg","11","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-55-inch-qa55q60dakxxv.html","55 inch","4K (UHD)","Tizen","Quantum Dot tái hiện 100% dải màu, Quantum HDR, Motion Xcelerator, Supreme UHD Dimming, Màu sắc đạt chuẩn chứng nhận Pantone, Super Ultra Wide Game View & Game Bar, Expert Calibration tự động cân chỉnh màu sắc, Giảm độ trễ chơi game với ALLM,...","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","2024","24 Tháng","Tivi QLED","HDR 10+","Q-Symphony Next kết hợp loa tivi với loa thanh bằng AI, Active Voice Amplifier điều chỉnh âm hội thoại theo môi trường, Adaptive Sound Tự động điều chỉnh chất âm phù hợp với nội dung đang chiếu, Âm thanh chuyển động theo hình ảnh OTS","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"135420","Google Tivi Hisense 43A6500K","6490000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057469-tivi-google-hisense-4k-43-inch-43a6500k-tskt.jpg","20","https://www.nguyenkim.com/google-tivi-hisense-4k-43-inch-43a6500k.html","43 inch","4K (UHD)","Google TV","Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision","MT9612IAATNC","60 Hz","20W","Có","2.4G + 5G/Bluetooth 5.1","2 Cổng","3 cổng","Hisense","Thái Lan","2023","24 Tháng","Google Tivi","HDR10","Dolby Atmos","","Tìm kiếm bằng giọng nói Tiếng Việt, Trợ lý ảo Google Assistant, Tìm kiếm bằng giọng nói không cần remote",2024-12-01
"136183","Smart Tivi Samsung UA55DU7700KXXV","13900000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057630-smart-tivi-qled-4k-55-inch-qa55du7700kxxv-tskt.jpg","7","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du7700kxxv.html","55 inch","4K (UHD)","Tizen","Purcolor, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","1 x USB-A","3 Micro HDMI","Samsung","Việt Nam","2024","24 Tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound Lite (OTS Lite), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"135893","Google Tivi LED TCL 55P755 Pro","10490000.00","12490000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057487-tivi-qled-tcl-4k-55-inch-55p755-tskt.jpg","16","https://www.nguyenkim.com/google-tivi-led-tcl-4k-55-inch-55p755-pro.html","55 inch","4K (UHD)","Google TV","HDR10+ Decoding, Dolby Vision","AIPQ Processor","60Hz/120Hz MEMC, 120 Hz DLG, 120Hz VRR Hz","(2x10)W + 15W","1 cổng","2.4GHz/5GHz","2","4 Cổng","TCL","Việt Nam","2024","24 Tháng","Google Tivi","HDR 10+","Dolby Atmos, DTS Vitual:X, DTS HD","","Google Assistant - Remote có micro",2024-12-01
"137493","BRAVIA 3 Tivi LED Sony 4K 55 inch K-55S30","15490000.00","16990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10058015-Google_Tivi_LED_Sony_4K_55_inch_K-55S30_VN3-tskt.jpg","23","https://www.nguyenkim.com/google-tivi-led-sony-4k-55-inch-k-55s30-vn3.html","55 inch","4K (UHD)","Google TV","4K HDR Processor X1, Triluminos PRO, 4K X-Reality PRO, Motionflow XR 200, Auto mode, Dolby Vision","4K HDR Processor X1","60 Hz / 50 Hz","20W","Có","Wifi, LAN (2,4 GHz/5 GHz)","2 (Bên cạnh)","4 cổng","Sony","Malaysia","2024","24 Tháng","Google Tivi","HDR10/HLG","X-Balanced Speaker, Dolby Atmos, DTS Digital Surround, S-Master Digital Amplifier","","Tìm kiếm và điều khiển TV không cần remote bằng cách nói ""OK google + câu lệnh"" trực tiếp vào TV - Hoặc Tìm kiếm bằng giọng nói truyền thống bằng remote",2024-12-01
"136138","Smart Tivi Samsung UA55DU8000KXXV","14400000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057624-smart-tivi-qled-4k-55-inch-qa55du800kxxv-tskt.jpg","6","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du8000kxxv.html","55 inch","4K (UHD)","Tizen","Hiển thị 1 tỷ sắc màu với Dynamic Crystal Color, Nâng cấp hình ảnh lên chuẩn 4K, Nâng cấp độ tương phản Contrast Enhancer, HDR cải thiện độ tương phản, Motion Xcelerator cho chuyển động mượt mà hơn, Auto Low Latercy giảm độ trễ khi chiến game","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 Micro HDMI","Samsung","Việt Nam","2024","24 Tháng","Smart Tivi","HDR10","Q-Symphony Next kết hợp loa tivi với loa thanh bằng AI, Active Voice Amplifier điều chỉnh âm hội thoại theo môi trường, Adaptive Sound Tự động điều chỉnh chất âm phù hợp với nội dung đang chiếu, Âm thanh chuyển động theo hình ảnh OTS","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"136978","Smart Tivi LED LG 43UT8050PSB","9890000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057952-Smart_Tivi_LG_4K_43_inch_43UT8050PSB-tskt.jpg","17","https://www.nguyenkim.com/smart-tivi-lg-4k-43-inch-43ut8050psb.html","43 inch","4K (UHD)","webOS Smart TV","9 chế độ (Sống động, Tiêu chuẩn, Sinh thái, Rạp chiếu phim, Thể thao, Trò chơi, Nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối))","α5 AI Processor 4K Gen7","60 Hz","20W","1 cổng","Wifi 5","2 Cổng","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG","Indonesia","2024","24 Tháng","Smart Tivi","HDR10/HLG","AI Sound Pro (Virtual 9.1.2 Up-mix)","","Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
"136088","Tivi QLED Samsung QA65Q60DAKXXV","18900000.00","0.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057613-smart-tivi-qled-4k-65-inch-qa65q60dakxxv-tskt.jpg","14","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-65-inch-qa65q60dakxxv.html","65 inch","4K (UHD)","Tizen","Quantum Dot tái hiện 100% dải màu, Quantum HDR, Motion Xcelerator, Supreme UHD Dimming, Màu sắc đạt chuẩn chứng nhận Pantone, Super Ultra Wide Game View & Game Bar, Expert Calibration tự động cân chỉnh màu sắc, Giảm độ trễ chơi game với ALLM,...","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","2024","24 Tháng","Tivi QLED","HDR 10+","Q-Symphony Next kết hợp loa tivi với loa thanh bằng AI, Active Voice Amplifier điều chỉnh âm hội thoại theo môi trường, Adaptive Sound Tự động điều chỉnh chất âm phù hợp với nội dung đang chiếu, Âm thanh chuyển động theo hình ảnh OTS","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-12-01
